;...1;No Transmission;Episodic;Episodic/Epidemic;Epidemic;Persistent Transmission;type;p-value
1;count;208;1780;2994;574;14;NA;NA
2;amazonia;9 (4.33);174 (9.78);269 (8.98);51 (8.89);0 (0.0);bioma;1,09E-98
3;caatinga;8 (3.85);291 (16.35);721 (24.08);75 (13.07);1 (7.14);bioma;1,09E-98
4;cerrado;5 (2.4);265 (14.89);654 (21.84);135 (23.52);4 (28.57);bioma;1,09E-98
5;mata atlantica;143 (68.75);955 (53.65);1322 (44.15);310 (54.01);9 (64.29);bioma;1,09E-98
6;pampa;43 (20.67);94 (5.28);22 (0.73);1 (0.17);0 (0.0);bioma;1,09E-98
7;pantanal;0 (0.0);1 (0.06);6 (0.2);2 (0.35);0 (0.0);bioma;1,09E-98
8;Af;2 (0.35);75 (4.21);105 (3.51);38 (18.27);0 (0.0);tipos climáticos;9,00E-147
9;Am;4 (0.7);101 (5.67);230 (7.68);58 (27.88);3 (21.43);tipos climáticos;9,00E-147
10;As;7 (1.22);264 (14.83);552 (18.44);68 (32.69);1 (7.14);tipos climáticos;9,00E-147
11;Aw;8 (1.39);295 (16.57);856 (28.59);175 (84.13);3 (21.43);tipos climáticos;9,00E-147
12;BSh;1 (0.17);107 (6.01);283 (9.45);29 (13.94);0 (0.0);tipos climáticos;9,00E-147
13;Cfa;114 (19.86);460 (25.84);459 (15.33);103 (49.52);2 (14.29);tipos climáticos;9,00E-147
14;Cfb;66 (11.5);214 (12.02);100 (3.34);24 (11.54);1 (7.14);tipos climáticos;9,00E-147
15;Cwa;3 (0.52);99 (5.56);243 (8.12);61 (29.33);1 (7.14);tipos climáticos;9,00E-147
16;Cwb;3 (0.52);165 (9.27);166 (5.54);18 (8.65);3 (21.43);tipos climáticos;9,00E-147
